Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,FileName
TNA iMPACT!,Wii,2008,Fighting,Midway Games,0.14,0.01,0,0.01,Fighting
The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,Fighting
Fighters Destiny,N64,1998,Fighting,Ocean,0.13,0.03,0,0,Fighting
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0.13,0.03,0,0,Fighting
Black & Bruised,PS2,2003,Fighting,Vivendi Games,0.08,0.06,0,0.02,Fighting
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,0.14,0,0,0.01,Fighting
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0,0.09,0.01,Fighting
Saturday Night Slam Masters,SNES,1994,Fighting,Capcom,0,0,0.16,0,Fighting
Psychic Force,PS,1996,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,Fighting
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,Fighting
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,Fighting
Bleach: Dark Souls,DS,2007,Fighting,Sega,0.12,0.02,0,0.01,Fighting
Digimon Battle Spirit 2,GBA,2003,Fighting,Namco Bandai Games,0.11,0.04,0,0,Fighting
Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009,Fighting,Namco Bandai Games,0.14,0,0,0.01,Fighting
All Japan Pro Wrestling featuring Virtua,SAT,1997,Fighting,Sega,0,0,0.15,0,Fighting
Street Fighter Anniversary Collection,XB,2004,Fighting,Capcom,0.11,0.03,0,0.01,Fighting
Samurai Shodown Anthology,PS2,2008,Fighting,Ignition Entertainment,0.07,0.06,0,0.02,Fighting
"Saint Seiya: Soldiers' Soul",PS4,2015,Fighting,Namco Bandai Games,0,0.09,0.04,0.02,Fighting
Dark Rift,N64,1997,Fighting,Vic Tokai,0.12,0.03,0,0,Fighting
Rocky,XB,2002,Fighting,Rage Software,0.11,0.03,0,0.01,Fighting
Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,0.08,0.06,0,0.01,Fighting
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.11,0.04,0,0,Fighting
Super Street Fighter II,GEN,1993,Fighting,Capcom,0,0,0.15,0,Fighting
Battle Stadium D.O.N,PS2,2006,Fighting,Namco Bandai Games,0,0,0.15,0,Fighting
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,Capcom,0.13,0,0,0.01,Fighting
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0,0,0.15,0,Fighting
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0,0.01,Fighting
Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0,0.02,Fighting
Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,0.08,0.05,0,0.01,Fighting
Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0,0.06,0.01,Fighting
Power Stone,DC,1998,Fighting,Eidos Interactive,0,0,0.14,0,Fighting
Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,Virgin Interactive,0,0,0.14,0,Fighting
Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0,0.01,0.13,0,Fighting
Gundam: The Battle Master,PS,1997,Fighting,Namco Bandai Games,0,0,0.13,0.01,Fighting
Injustice: Gods Among Us,PSV,2013,Fighting,Warner Bros. Interactive Entertainment,0.11,0.01,0,0.02,Fighting
Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0,0,0.14,0,Fighting
Dead or Alive 2,DC,2000,Fighting,Acclaim Entertainment,0,0,0.14,0,Fighting
Godzilla: Save the Earth,XB,2004,Fighting,Atari,0.1,0.03,0,0,Fighting
"The King of Fighters '94 (CD)",NG,1993,Fighting,SNK,0,0,0.14,0,Fighting
Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,0.06,0.06,0,0.03,Fighting
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,Fighting,Namco Bandai Games,0.04,0.01,0.08,0,Fighting
Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0,0.01,0.13,0,Fighting
Marvel vs. Capcom 2: New Age of Heroes,XB,2002,Fighting,Capcom,0.09,0.03,0.01,0,Fighting
SNK vs. Capcom: The Match of the Millennium,PS2,2006,Fighting,Sega,0,0.02,0,0.12,Fighting
Guilty Gear,PS,1998,Fighting,Virgin Interactive,0.03,0.02,0.07,0.01,Fighting
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0,Fighting
"Shonen Jump's One Piece: Grand Battle",PS2,2005,Fighting,Atari,0.07,0.05,0,0.02,Fighting
"Hulk Hogan's Main Event",X360,2011,Fighting,505 Games,0.1,0.02,0,0.01,Fighting
Rumble Roses XX,X360,2006,Fighting,Konami Digital Entertainment,0.07,0.01,0.04,0.01,Fighting
WWE Survivor Series,GBA,2004,Fighting,THQ,0.09,0.04,0,0,Fighting
Persona 4: Arena,X360,2012,Fighting,Atlus,0.08,0.02,0.03,0.01,Fighting
Fire ProWrestling,GBA,2001,Fighting,Spike,0.09,0.03,0,0,Fighting
Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,Fighting
Street Fighter IV,PC,N/A,Fighting,Capcom,0.07,0.04,0,0.02,Fighting
Last Bronx,SAT,1996,Fighting,Sega,0,0,0.13,0,Fighting
BlazBlue: Continuum Shift II,PSP,2011,Fighting,PQube,0.03,0.02,0.07,0.01,Fighting
Legends of Wrestling,GC,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0,Fighting
X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0,0,Fighting
Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,0.09,0.03,0,0,Fighting
Supremacy MMA,PS3,2011,Fighting,505 Games,0.06,0.04,0,0.02,Fighting
Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0,0,0.12,0,Fighting
Criticom,PS,1996,Fighting,Vic Tokai,0.07,0.05,0,0.01,Fighting
Fire ProWrestling S: 6Men Scramble,SAT,1996,Fighting,Human Entertainment,0,0,0.12,0,Fighting
Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999,Fighting,Human Entertainment,0,0,0.12,0.01,Fighting
Guilty Gear X,PS2,2001,Fighting,Sammy Corporation,0.06,0.05,0,0.02,Fighting
"The King of Fighters '94",NG,1994,Fighting,SNK,0,0,0.12,0,Fighting
"The King of Fighters '98 Ultimate Match",PS2,2008,Fighting,Ignition Entertainment,0.04,0.03,0.03,0.01,Fighting
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0,0.04,0.06,0.02,Fighting
WWE SmackDown vs Raw 2008,DS,2007,Fighting,THQ,0.11,0.01,0,0.01,Fighting
Blazblue: Continuum Shift Extend,PSV,2011,Fighting,PQube,0.03,0.05,0.02,0.02,Fighting
The King of Fighters Collection: The Orochi Saga,Wii,2008,Fighting,Ignition Entertainment,0.11,0,0,0.01,Fighting
Showdown: Legends of Wrestling,XB,2004,Fighting,Acclaim Entertainment,0.09,0.03,0,0,Fighting
Godzilla: Destroy All Monsters Melee,XB,N/A,Fighting,Unknown,0.09,0.03,0,0,Fighting
"Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny",PSP,2011,Fighting,Namco Bandai Games,0,0,0.12,0,Fighting
Onimusha: Blade Warriors,PS2,2003,Fighting,Capcom,0.06,0.05,0,0.02,Fighting
One Piece: Super Grand Battle! X,3DS,2014,Fighting,Namco Bandai Games,0,0,0.12,0,Fighting
Battle Arena Toshinden Remix,SAT,1994,Fighting,Sega,0,0,0.12,0,Fighting
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0,0,Fighting
Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,Fighting
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Fighting,Angel Studios,0,0,0.12,0,Fighting
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0,0,0.12,0,Fighting
Center Ring Boxing,SAT,1994,Fighting,JVC,0,0,0.12,0,Fighting
DOA 2: Dead or Alive 2 Hardcore,PS2,2000,Fighting,Tecmo Koei,0,0,0.11,0,Fighting
Melty Blood: Act Cadenza,PS2,2006,Fighting,Sega,0,0,0.11,0,Fighting
Ultimate Mortal Kombat,DS,2007,Fighting,Midway Games,0.09,0.01,0,0.01,Fighting
Primal Rage,PS,1994,Fighting,Time Warner Interactive,0.06,0.04,0,0.01,Fighting
BoomBots,PS,1999,Fighting,SouthPeak Games,0.06,0.04,0,0.01,Fighting
The King of Fighters XII,X360,2009,Fighting,Ignition Entertainment,0.09,0,0.01,0.01,Fighting
"The King of Fighters '99",PS,2000,Fighting,SNK,0,0,0.11,0.01,Fighting
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.06,0.04,0,0.01,Fighting
InuYasha: A Feudal Fairy Tale,PS,2002,Fighting,Namco Bandai Games,0,0,0.1,0.01,Fighting
WWE All Stars,PS2,2011,Fighting,THQ,0.05,0.04,0,0.01,Fighting
Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.09,0.02,0,0,Fighting
Mortal Kombat: Deception,GC,2005,Fighting,Midway Games,0.09,0.02,0,0,Fighting
The King of Fighters 2000/2001,PS2,2003,Fighting,Ignition Entertainment,0.05,0.04,0,0.01,Fighting
BlazBlue: Calamity Trigger Portable,PSP,2010,Fighting,PQube,0.07,0.01,0.03,0.01,Fighting
Street Fighter Collection,SAT,1996,Fighting,Capcom,0,0,0.11,0,Fighting
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0,0,Fighting
One Piece: Burning Blood,PSV,2016,Fighting,Namco Bandai Games,0,0.03,0.07,0.01,Fighting
Transformers: Beast Wars Transmetals,PS,2000,Fighting,BAM! Entertainment,0.06,0.04,0,0.01,Fighting
BlazBlue: Continuum Shift II,3DS,2011,Fighting,PQube,0.05,0.01,0.04,0.01,Fighting
Fight Club,XB,2004,Fighting,Vivendi Games,0.08,0.02,0,0,Fighting
Kamen Rider: Climax Heroes,PS2,2009,Fighting,Namco Bandai Games,0,0,0.11,0,Fighting
BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.06,0,0.03,0.02,Fighting
Fairy Tail: Portable Guild,PSP,2010,Fighting,Konami Digital Entertainment,0,0,0.11,0,Fighting
UFC: Tapout 2,XB,2003,Fighting,Capcom,0.08,0.02,0,0,Fighting
Lucha Libre AAA: Heroes del Ring,PS3,2010,Fighting,Konami Digital Entertainment,0.1,0,0,0.01,Fighting
Bujingai: The Forsaken City,PS2,2003,Fighting,505 Games,0.05,0.04,0,0.01,Fighting
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995,Fighting,Atlus,0,0,0.1,0.01,Fighting
The King of Fighters: Dream Match 1999,DC,1999,Fighting,SNK,0,0,0.1,0,Fighting
X-Men: Children of the Atom,PS,1998,Fighting,Acclaim Entertainment,0.06,0.04,0,0.01,Fighting
Capcom vs. SNK 2 EO,XB,2003,Fighting,Capcom,0.08,0.02,0,0,Fighting
Draglade,DS,2007,Fighting,505 Games,0.09,0,0,0.01,Fighting
E·O·E: Eve of Extinction,PS2,2002,Fighting,Eidos Interactive,0.04,0.03,0.02,0.01,Fighting
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0,0,0.1,0,Fighting
SNK vs. Capcom: SVC Chaos,XB,2004,Fighting,Ignition Entertainment,0.08,0.02,0,0,Fighting
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,Fighting
Flying Dragon,N64,1997,Fighting,Natsume,0.08,0.02,0,0,Fighting
Gekido,PS,1999,Fighting,Infogrames,0.06,0.04,0,0.01,Fighting
Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,Capcom,0,0.04,0.04,0.01,Fighting
Marvel vs. Capcom: Clash of Super Heroes,DC,1999,Fighting,Capcom,0,0,0.1,0,Fighting
Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games,0.06,0.03,0,0.02,Fighting
Bleach: Dark Souls (JP sales),DS,2007,Fighting,Sega,0,0,0.1,0,Fighting
Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007,Fighting,Takara Tomy,0,0,0.1,0,Fighting
Real Bout Garou Densetsu,SAT,1996,Fighting,SNK,0,0,0.1,0,Fighting
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01,Fighting
Virtual Pro Wrestling,PS,1996,Fighting,Asmik Ace Entertainment,0,0,0.09,0.01,Fighting
Dragon Ball: Evolution,PSP,2009,Fighting,Namco Bandai Games,0.09,0,0,0.01,Fighting
Guilty Gear Isuka,PS2,2004,Fighting,505 Games,0.05,0.04,0,0.01,Fighting
Dead or Alive 5,PSV,2013,Fighting,Tecmo Koei,0,0.05,0.03,0.02,Fighting
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA,2002,Fighting,Banpresto,0.05,0.02,0.03,0,Fighting
Street Fighter Collection,PS,1997,Fighting,Capcom,0,0,0.09,0.01,Fighting
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,Fighting
Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0,Fighting
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01,Fighting
Bleach: Heat the Soul,PSP,2005,Fighting,Sony Computer Entertainment,0,0,0.09,0,Fighting
Digimon Rumble Arena 2,PS2,2004,Fighting,Atari,0.05,0.04,0,0.01,Fighting
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,Namco Bandai Games,0,0,0.09,0,Fighting
Bloody Roar 4,PS2,2003,Fighting,Konami Digital Entertainment,0.05,0.04,0,0.01,Fighting
Samurai Shodown Anthology,PSP,N/A,Fighting,Ignition Entertainment,0.08,0,0,0.01,Fighting
Supremacy MMA,PSV,2012,Fighting,505 Games,0.02,0.05,0,0.02,Fighting
Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,Namco Bandai Games,0,0,0.09,0,Fighting
Bleach: Heat the Soul 6,PSP,2009,Fighting,Sony Computer Entertainment,0,0,0.09,0,Fighting
Blazblue: Continuum Shift Extend,PS3,2011,Fighting,PQube,0,0,0.09,0,Fighting
Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0,0,0.09,0,Fighting
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007,Fighting,Takara Tomy,0,0,0.09,0,Fighting
Battle Fantasia,X360,2008,Fighting,505 Games,0.07,0,0.01,0.01,Fighting
Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005,Fighting,Sega,0,0,0.08,0,Fighting
Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,Fighting
Guilty Gear XX Accent Core Plus,PSP,2008,Fighting,PQube,0.03,0.01,0.04,0.01,Fighting
Bleach: Heat the Soul 5,PSP,2008,Fighting,Sony Computer Entertainment,0,0,0.08,0,Fighting
Marvel Nemesis: Rise of the Imperfects,DS,2005,Fighting,Electronic Arts,0.08,0,0,0.01,Fighting
"The King of Fighters '98: Dream Match Never Ends",PS,1999,Fighting,SNK Playmore,0.05,0.03,0,0.01,Fighting
Dead or Alive 5,XOne,2015,Fighting,Tecmo Koei,0.04,0.03,0.01,0.01,Fighting
Gundam Seed: Battle Assault,GBA,2004,Fighting,Namco Bandai Games,0.06,0.02,0,0,Fighting
Naruto Shippuden: Shinobi Rumble,DS,2010,Fighting,Takara Tomy,0.03,0,0.05,0,Fighting
Mortal Kombat Kollection,PS2,2008,Fighting,Midway Games,0.04,0.03,0,0.01,Fighting
Blades of Blood: Samurai Shodown III,PS,1995,Fighting,Sony Computer Entertainment,0.05,0.03,0,0.01,Fighting
Supremacy MMA,X360,2011,Fighting,505 Games,0.05,0.03,0,0.01,Fighting
Zatch Bell! Mamodo Battles,PS2,2005,Fighting,Namco Bandai Games,0.04,0.03,0,0.01,Fighting
One Piece: Romance Dawn - Bouken no Yoake,3DS,2013,Fighting,Namco Bandai Games,0,0,0.08,0,Fighting
The King of Fighters 2006,PS2,2006,Fighting,Ignition Entertainment,0.01,0.01,0.05,0,Fighting
Samurai Shodown Sen,X360,2009,Fighting,Rising Star Games,0.07,0.01,0,0.01,Fighting
"The King of Fighters '96",PS,1997,Fighting,SNK,0,0,0.07,0.01,Fighting
Persona 4: Arena Ultimax,X360,2014,Fighting,Atlus,0.06,0.01,0,0.01,Fighting
The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.06,0.02,0,0,Fighting
Samurai Shodown III,NG,1995,Fighting,SNK,0,0,0.08,0,Fighting
Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,0.01,0.06,0,0.01,Fighting
Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Fighting,Sega,0,0,0.08,0,Fighting
Bleach: Heat the Soul 4,PSP,2007,Fighting,Sony Computer Entertainment,0,0,0.08,0,Fighting
Bleach: Heat the Soul 7,PSP,2010,Fighting,Sony Computer Entertainment,0,0,0.08,0,Fighting
Ultimate Fighting Championship: Throwdown,GC,2002,Fighting,Ubisoft,0.06,0.02,0,0,Fighting
Guilty Gear XX Slash,PS2,2006,Fighting,Sammy Corporation,0,0,0.08,0,Fighting
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007,Fighting,Takara Tomy,0,0,0.08,0,Fighting
Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,DS,2008,Fighting,Takara Tomy,0,0,0.08,0,Fighting
Fate/Tiger Colosseum,PSP,2007,Fighting,Capcom,0,0,0.08,0,Fighting
One Piece: Gear Spirit,DS,2007,Fighting,Namco Bandai Games,0,0,0.08,0,Fighting
Fairy Tail: Portable Guild 2,PSP,2011,Fighting,Konami Digital Entertainment,0,0,0.08,0,Fighting
Kinnikuman Muscle Grand Prix Max 2: Tokumori,PS2,2008,Fighting,Namco Bandai Games,0,0,0.07,0,Fighting
Naruto Shippuden: Gekito Ninja Taisen! EX 3,Wii,2008,Fighting,Takara Tomy,0,0,0.07,0,Fighting
Boxing,PS,2000,Fighting,Midas Interactive Entertainment,0.04,0.03,0,0,Fighting
Kenka Banchou 6: Soul & Blood,3DS,2015,Fighting,Screenlife,0,0,0.07,0,Fighting
Saint Seiya: Brave Soldiers,PS3,2013,Fighting,Namco Bandai Games,0,0.01,0.06,0,Fighting
Kengo: Legend of The 9,X360,2006,Fighting,Majesco Entertainment,0.06,0.01,0,0.01,Fighting
The King of Fighters Collection: The Orochi Saga,PSP,2008,Fighting,Ignition Entertainment,0.07,0,0,0,Fighting
Cartoon Network: Punch Time Explosion XL,X360,2011,Fighting,Crave Entertainment,0.07,0,0,0,Fighting
Mucha Lucha! Mascaritas of the Lost Code,GBA,2003,Fighting,Ubisoft,0.05,0.02,0,0,Fighting
TMNT: Mutant Melee,GC,2005,Fighting,Konami Digital Entertainment,0.06,0.01,0,0,Fighting
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.02,0,0.05,0,Fighting
The King of Fighters: Evolution,DC,2000,Fighting,SNK,0,0,0.07,0,Fighting
Bleach: Heat the Soul 3,PSP,2006,Fighting,Sony Computer Entertainment,0,0,0.07,0,Fighting
Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0.01,Fighting
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0,Fighting
Super Robot Spirits,N64,1998,Fighting,Banpresto,0,0,0.04,0.03,Fighting
Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,0,0.03,0.04,0,Fighting
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,PQube,0.01,0.02,0.02,0.01,Fighting
Tournament of Legends,Wii,2010,Fighting,Sega,0.04,0.02,0,0.01,Fighting
Tom and Jerry in War of the Whiskers,GC,2003,Fighting,NewKidCo,0.05,0.01,0,0,Fighting
Samurai Shodown,NG,1993,Fighting,SNK,0,0,0.07,0,Fighting
Fighter Maker 2,PS2,2002,Fighting,Enterbrain,0.03,0.03,0,0.01,Fighting
Cartoon Network: Punch Time Explosion XL,PS3,2011,Fighting,Crave Entertainment,0.06,0,0,0,Fighting
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,0.05,0.02,0,0,Fighting
Fatal Fury: Battle Archives Volume 2,PS2,2007,Fighting,SNK Playmore,0.03,0.03,0,0.01,Fighting
Destrega,PS,1998,Fighting,Sony Computer Entertainment,0.04,0.03,0,0,Fighting
The King of Fighters 02/03,PS2,2005,Fighting,SNK,0.03,0.03,0,0.01,Fighting
Kamen Rider: Dragon Knight,Wii,2009,Fighting,D3Publisher,0.06,0,0,0,Fighting
Zatch Bell! Mamodo Battles,GC,2005,Fighting,Namco Bandai Games,0.05,0.01,0,0,Fighting
Bleach: Versus Crusade,Wii,2008,Fighting,Sega,0,0,0.06,0,Fighting
"Fist of the North Star: Ken's Rage 2",X360,2012,Fighting,Tecmo Koei,0.03,0.01,0.02,0,Fighting
Ys vs. Sora no Kiseki: Alternative Saga,PSP,2010,Fighting,Falcom Corporation,0,0,0.06,0,Fighting
Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,0,0,0.06,0,Fighting
Legend of the Dragon,Wii,2007,Fighting,Game Factory,0.06,0,0,0,Fighting
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0,0.01,0,Fighting
Killer Instinct (2013),XOne,2013,Fighting,Microsoft Game Studios,0.03,0.03,0,0.01,Fighting
Dissidia: Final Fantasy Universal Tuning,PSP,2009,Fighting,Square Enix,0,0,0.06,0,Fighting
Samurai Shodown Anthology,Wii,2008,Fighting,Ignition Entertainment,0.06,0,0,0,Fighting
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,2011,Fighting,Namco Bandai Games,0,0,0.06,0,Fighting
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,PQube,0.03,0.02,0,0.01,Fighting
"Shonen Jump's One Piece: Grand Battle",GC,2005,Fighting,Namco Bandai Games,0.05,0.01,0,0,Fighting
Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,2010,Fighting,Takara Tomy,0,0,0.06,0,Fighting
Marvel Super Heroes,SAT,1997,Fighting,Capcom,0,0,0.06,0,Fighting
Showtime Championship Boxing,DS,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0,Fighting
Digimon All-Star Rumble,X360,2014,Fighting,Namco Bandai Games,0.04,0.01,0,0.01,Fighting
Guilty Gear X: Advance Edition,GBA,2002,Fighting,Sammy Corporation,0.04,0.02,0,0,Fighting
Fate/Tiger Colosseum Upper,PSP,2008,Fighting,Capcom,0,0,0.06,0,Fighting
"JoJo's Bizarre Adventure: All Star Battle",3DS,2012,Fighting,Take-Two Interactive,0.06,0,0,0,Fighting
Melty Blood: Actress Again,PS2,2009,Fighting,Ecole,0,0,0.06,0,Fighting
Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.03,0,0.02,0.01,Fighting
Killing Zone,PS,1996,Fighting,Acclaim Entertainment,0.03,0.02,0,0,Fighting
Hajime no Ippo Portable: Victorious Spirits,PSP,2007,Fighting,Grand Prix Games,0,0,0.06,0,Fighting
Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,2007,Fighting,Takara Tomy,0,0,0.06,0,Fighting
Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,Fighting,SNK,0,0,0.05,0,Fighting
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,Fighting,Konami Digital Entertainment,0,0,0.06,0,Fighting
Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,2009,Fighting,Takara Tomy,0,0,0.06,0,Fighting
Bleach: Blade Battlers 2nd,PS2,2007,Fighting,Sony Computer Entertainment,0,0,0.06,0,Fighting
Zero Divide,PS,1995,Fighting,Ocean,0.03,0.02,0,0,Fighting
"The King of Fighters '96",NG,1996,Fighting,SNK,0,0,0.06,0,Fighting
WWF Wrestlemania: The Arcade Game,PS,1995,Fighting,Acclaim Entertainment,0.03,0.02,0,0,Fighting
Bleach: Blade Battlers,PS2,2006,Fighting,Sony Computer Entertainment,0,0,0.05,0,Fighting
Samurai Deeper Kyo,PS,2002,Fighting,Namco Bandai Games,0,0,0.05,0,Fighting
Arcana Heart 3,X360,2011,Fighting,PQube,0,0.03,0.02,0,Fighting
Fatal Fury: Wild Ambition,PS,1999,Fighting,SNK Playmore,0.03,0.02,0,0,Fighting
Kamen Rider: Dragon Knight,DS,2009,Fighting,D3Publisher,0.05,0,0,0,Fighting
Fate/Unlimited Codes Portable,PSP,2009,Fighting,Capcom,0,0,0.05,0,Fighting
Lucha Libre AAA: Heroes del Ring,X360,2010,Fighting,Konami Digital Entertainment,0.05,0,0,0,Fighting
TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,2010,Fighting,Hudson Soft,0,0,0.05,0,Fighting
TNA iMPACT: Cross the Line,PSP,2010,Fighting,SouthPeak Games,0.05,0,0,0,Fighting
Mortal Kombat X,PC,2015,Fighting,Warner Bros. Interactive Entertainment,0.01,0.04,0,0,Fighting
Sengoku Basara X,PS2,2008,Fighting,Capcom,0,0,0.05,0,Fighting
Street Fighter V,PC,2016,Fighting,Capcom,0,0.05,0,0,Fighting
Rave Master,GC,2002,Fighting,Konami Digital Entertainment,0,0,0.05,0,Fighting
Kinnikuman Muscle Grand Prix Max,PS2,2006,Fighting,Konami Digital Entertainment,0,0,0.05,0,Fighting
Dual Heroes,N64,1997,Fighting,Hudson Soft,0.04,0.01,0,0,Fighting
Fighter Destiny 2,N64,1999,Fighting,Imagineer,0.04,0.01,0,0,Fighting
Guilty Gear Dust Strikers,DS,2006,Fighting,Majesco Entertainment,0.05,0,0,0,Fighting
Hokuto no Ken,PS2,2007,Fighting,Sega,0,0,0.05,0,Fighting
TNA iMPACT: Cross the Line,DS,2010,Fighting,SouthPeak Games,0.05,0,0,0,Fighting
Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Fighting,Capcom,0,0,0.05,0,Fighting
Golden Axe: The Duel,SAT,1994,Fighting,Sega,0,0,0.05,0,Fighting
Punch King,GBA,2002,Fighting,Acclaim Entertainment,0.03,0.01,0,0,Fighting
Kakuto Chojin,XB,2002,Fighting,Microsoft Game Studios,0.04,0.01,0,0,Fighting
Black & Bruised,GC,2003,Fighting,Vivendi Games,0.04,0.01,0,0,Fighting
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,SNK,0,0,0.05,0,Fighting
Bleach: Soul Carnival,PSP,2008,Fighting,Sony Computer Entertainment,0,0,0.05,0,Fighting
The King of Fighters 2002: Unlimited Match,PS2,2009,Fighting,SNK Playmore,0,0,0.04,0,Fighting
Art of Fighting Anthology,PS2,2006,Fighting,Crave Entertainment,0.02,0.02,0,0.01,Fighting
Guilty Gear XX Accent Core,PS2,2007,Fighting,Unknown,0,0,0.04,0,Fighting
